ID; A.X; A.Y; B.X; B.Y; A; L
4312;-509009;-1240565;-475009;-1240565;90;34000;
25535;-509109;-1240565;-475909;-1240565;90;33200;
19919;-509309;-1240465;-476409;-1240565;90;32900;
17705;-508809;-1240565;-476509;-1240565;90;32300;
2155;-509209;-1240465;-478209;-1240565;90;31000;
3266;-509009;-1240565;-478209;-1240565;90;30800;
15416;-509309;-1240465;-478609;-1240565;90;30700;
16608;-509309;-1240465;-478609;-1240565;90;30700;
14121;-509109;-1240465;-478609;-1240565;90;30500;
13737;-468209;-1268965;-468209;-1262065;0;6900;
14884;-468209;-1268865;-468209;-1262065;0;6800;
25101;-468209;-1268865;-468209;-1262065;0;6800;
26260;-468209;-1268865;-468209;-1262165;0;6700;
1615;-468209;-1268765;-468209;-1262165;0;6600;
19984;-470609;-1321165;-464309;-1322165;99;6378;
22452;-497609;-1281265;-496009;-1287265;165;6209;
12676;-503209;-1260765;-503209;-1254665;0;6100;
13961;-503209;-1260965;-503209;-1254865;0;6100;
15411;-453209;-1249965;-451909;-1244065;12;6041;
9887;-497609;-1281365;-496009;-1287165;164;6016;
18309;-497609;-1281365;-496009;-1287165;164;6016;
25340;-503209;-1260765;-503209;-1254965;0;5800;
11063;-497609;-1281265;-496109;-1286865;165;5797;
12259;-497609;-1281265;-496109;-1286865;165;5797;
100;-490309;-1314965;-486809;-1319565;142;5780;
9439;-490509;-1314665;-487109;-1319265;143;5720;
13008;-490809;-1315565;-487409;-1320165;143;5720;
26639;-503209;-1260865;-503209;-1255165;0;5700;
5440;-490409;-1314665;-487109;-1319265;144;5661;
8423;-490409;-1314665;-487109;-1319265;144;5661;
7430;-490309;-1314965;-486909;-1319465;142;5640;
23175;-490409;-1314565;-487209;-1319165;145;5603;
10572;-490509;-1314665;-487209;-1319165;143;5580;
17854;-490509;-1314665;-487209;-1319165;143;5580;
21973;-490509;-1314665;-487209;-1319165;143;5580;
23172;-490809;-1315565;-487509;-1320065;143;5580;
24386;-490809;-1315565;-487509;-1320065;143;5580;
9429;-490709;-1315865;-487309;-1320265;142;5560;
13011;-490409;-1314665;-487209;-1319165;144;5521;
10562;-490709;-1315765;-487409;-1320165;143;5500;
14232;-490709;-1315665;-487509;-1320065;143;5440;
25618;-490709;-1315665;-487509;-1320065;143;5440;
